Designator,Footprint,Quantity,Value,LCSC Part #
,462f2333-586c-4cc8-b04d-9995b911b9d8,1,,
C1,CP_Radial_D6.3mm_P2.50mm,1,100uF,
"C10, C11",CP_Radial_D5.0mm_P2.00mm,2,47uF,
C2,1206,1,10uF,
"C3, C4, C5, C6, C7",0805,5,0.1uF,
"C8, C9",0805,2,22pF,
D1,D_SMA,1,SMAJ5.0A,
F1,1206,1,500mA,
J1,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",1,USB_Connector,
J2,PinHeader_2x03_P2.54mm_Vertical,1,ISP_Connector,
J3,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,Fan_1,
J4,Molex_KK-254_AE-6410-04A_1x04_P2.54mm_Vertical,1,Fan_2,
J5,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,TPROBE_1,
J6,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,TPROBE_2,
J7,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,TPROBE_3,
J8,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,TPROBE_4,
J9,PinSocket_1x04_P2.54mm_Vertical,1,OLED,
"Q1, Q2",SOT-23,2,2N7002,
"R1, R3, R5, R6, R7",0805,5,10k,
"R10, R9",0805,2,4.7k DNP,
R11,0805,1,4.7k,
"R2, R4",0805,2,150,
R8,0805,1,100,
"SW1, SW2, SW3, SW4",SW_PUSH_6mm_H5mm,4,SW_Push,
U2,DIP-28_W7.62mm,1,ATmega328P-P,
Y1,Crystal_HC49-U_Vertical,1,16MHz,
