Designator,Mid X,Mid Y,Rotation,Layer
,157.1625,-23.8125,315.0,top
C1,109.478125,-41.671875,180.0,top
C10,135.73125,-55.927499,270.0,top
C11,135.73125,-41.862499,90.0,top
C2,109.5375,-50.00625,180.0,top
C3,109.5375,-54.76875,180.0,top
C4,101.203125,-85.725,180.0,top
C5,80.9625,-82.153125,90.0,top
C6,97.63125,-83.34375,90.0,top
C7,76.2,-66.675,90.0,top
C8,77.390625,-82.393751,270.0,top
C9,77.390625,-91.678125,90.0,top
D1,109.5375,-33.3375,0.0,top
F1,116.68125,-28.575,270.0,top
H1,100.0125,-20.240625,0.0,top
H2,85.725,-20.240625,0.0,top
H3,71.4375,-20.240625,0.0,top
J1,113.109375,-20.068125,180.0,top
J2,102.39375,-94.2975,270.0,top
J3,147.6375,-42.941874,90.0,top
J4,147.6375,-55.165624,270.0,top
J5,161.80625,-92.86875,0.0,top
J6,149.9,-92.86875,0.0,top
J7,137.99375,-92.86875,0.0,top
J8,126.0875,-92.86875,0.0,top
J9,107.15625,-66.436875,180.0,top
Q1,155.971875,-42.8625,0.0,top
Q2,155.971875,-54.76875,0.0,top
R1,80.9625,-66.396875,270.0,top
R10,100.0125,-65.325625,0.0,top
R11,78.58125,-77.390625,0.0,top
R2,165.496875,-44.053125,0.0,top
R3,160.734375,-46.434375,90.0,top
R4,165.496875,-55.959375,0.0,top
R5,160.734375,-58.340625,90.0,top
R6,141.684375,-41.830624,0.0,top
R7,141.684375,-56.118124,0.0,top
R8,82.153125,-76.2,180.0,top
R9,100.290625,-60.563125,0.0,top
SW1,102.39375,-104.775,0.0,top
SW2,113.109375,-104.775,0.0,top
SW3,123.503125,-104.90625,0.0,top
SW4,67.54375,-66.54375,0.0,top
U2,89.05875,-80.3275,0.0,top
Y1,69.05625,-88.10625,90.0,top
